id,created_at,proximity,distance,description,beacon_id,actual,rssi
4840,2024-05-22 05:41:12+00,Immediate,0.09,,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4841,2024-05-22 05:41:13+00,Immediate,0.08,,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4842,2024-05-22 05:41:14+00,Immediate,0.08,,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4843,2024-05-22 05:41:15+00,Immediate,0.08,,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4844,2024-05-22 05:41:16+00,Immediate,0.08,,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4845,2024-05-22 05:41:17+00,Immediate,0.08,,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4846,2024-05-22 05:41:18+00,Immediate,0.09,,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-40
4847,2024-05-22 05:41:19+00,Immediate,0.08,,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4848,2024-05-22 05:41:20+00,Immediate,0.08,,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4849,2024-05-22 05:41:21+00,Immediate,0.08,,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4850,2024-05-22 05:41:22+00,Immediate,0.08,,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4851,2024-05-22 05:41:23+00,Immediate,0.09,,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-40
4852,2024-05-22 05:41:12+00,Immediate,0.1,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-41
4853,2024-05-22 05:41:13+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4854,2024-05-22 05:41:14+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4855,2024-05-22 05:41:15+00,Immediate,0.1,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-41
4856,2024-05-22 05:41:16+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4857,2024-05-22 05:41:17+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4858,2024-05-22 05:41:18+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4859,2024-05-22 05:41:19+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4860,2024-05-22 05:41:20+00,Immediate,0.1,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-41
4861,2024-05-22 05:41:21+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4862,2024-05-22 05:41:22+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4863,2024-05-22 05:41:23+00,Immediate,0.08,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-39
4864,2024-05-22 05:41:12+00,Immediate,0.1,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-41
4865,2024-05-22 05:41:13+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4866,2024-05-22 05:41:14+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4867,2024-05-22 05:41:15+00,Immediate,0.1,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-41
4868,2024-05-22 05:41:16+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4869,2024-05-22 05:41:17+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4870,2024-05-22 05:41:18+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4871,2024-05-22 05:41:19+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4872,2024-05-22 05:41:20+00,Immediate,0.1,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-41
4873,2024-05-22 05:41:21+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4874,2024-05-22 05:41:22+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4875,2024-05-22 05:41:23+00,Immediate,0.08,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-39
4876,2024-05-22 05:41:12+00,Immediate,0.1,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-41
4877,2024-05-22 05:41:13+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4878,2024-05-22 05:41:14+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4879,2024-05-22 05:41:15+00,Immediate,0.1,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-41
4880,2024-05-22 05:41:16+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4881,2024-05-22 05:41:17+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4882,2024-05-22 05:41:18+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4883,2024-05-22 05:41:19+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4884,2024-05-22 05:41:20+00,Immediate,0.1,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-41
4885,2024-05-22 05:41:21+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4886,2024-05-22 05:41:22+00,Immediate,0.09,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-40
4887,2024-05-22 05:41:23+00,Immediate,0.08,,163c6000-3605-028b-5f49-aaca39b6c76d,0.2,-39
4888,2024-05-22 05:45:19+00,Immediate,0.07,data-v2 test,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-38
4889,2024-05-22 05:45:20+00,Immediate,0.06,data-v2 test,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-37
4890,2024-05-22 05:45:21+00,Immediate,0.06,data-v2 test,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-37
4891,2024-05-22 05:45:22+00,Immediate,0.07,data-v2 test,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-38
4892,2024-05-22 05:45:23+00,Immediate,0.07,data-v2 test,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4893,2024-05-22 05:50:28+00,Immediate,0.17,data-v2 hallo test,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.1,-43
4894,2024-05-22 05:50:29+00,Immediate,0.12,data-v2 hallo test,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.1,-41
4895,2024-05-22 05:50:30+00,Immediate,0.1,data-v2 hallo test,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.1,-40
4896,2024-05-22 05:50:31+00,Immediate,0.09,data-v2 hallo test,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.1,-40
4897,2024-05-22 05:50:28+00,Immediate,0.13,hallo test,163c6000-3605-028b-5f49-aaca39b6c76d,0.1,-41
4898,2024-05-22 05:50:29+00,Immediate,0.09,hallo test,163c6000-3605-028b-5f49-aaca39b6c76d,0.1,-39
4899,2024-05-22 05:50:30+00,Immediate,0.08,hallo test,163c6000-3605-028b-5f49-aaca39b6c76d,0.1,-39
4900,2024-05-22 05:50:31+00,Immediate,0.09,hallo test,163c6000-3605-028b-5f49-aaca39b6c76d,0.1,-40
4928,2024-05-22 07:11:43+00,Immediate,0.09,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-40
4929,2024-05-22 07:11:44+00,Immediate,0.08,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4930,2024-05-22 07:11:45+00,Immediate,0.08,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4931,2024-05-22 07:11:46+00,Immediate,0.07,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-38
4932,2024-05-22 07:11:47+00,Immediate,0.08,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4933,2024-05-22 07:11:48+00,Immediate,0.08,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4934,2024-05-22 07:11:49+00,Immediate,0.08,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-39
4935,2024-05-22 07:11:50+00,Immediate,0.09,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-41
4936,2024-05-22 07:11:51+00,Immediate,0.14,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-45
4937,2024-05-22 07:11:52+00,Immediate,0.17,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-46
4938,2024-05-22 07:11:53+00,Immediate,0.18,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-46
4939,2024-05-22 07:11:54+00,Immediate,0.22,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-48
4940,2024-05-22 07:11:55+00,Immediate,0.22,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-47
4941,2024-05-22 07:11:56+00,Immediate,0.2,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-46
4942,2024-05-22 07:11:57+00,Near,0.19,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-46
4943,2024-05-22 07:11:58+00,Immediate,0.18,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-45
4944,2024-05-22 07:11:59+00,Immediate,0.18,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-46
4945,2024-05-22 07:12:00+00,Immediate,0.19,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-46
4946,2024-05-22 07:12:01+00,Immediate,0.2,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-47
4947,2024-05-22 07:12:02+00,Immediate,0.21,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-47
4948,2024-05-22 07:12:03+00,Immediate,0.21,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-47
4949,2024-05-22 07:12:04+00,Immediate,0.21,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-47
4950,2024-05-22 07:12:05+00,Immediate,0.21,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-47
4951,2024-05-22 07:12:06+00,Immediate,0.21,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-47
4952,2024-05-22 07:12:07+00,Immediate,0.26,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-50
4953,2024-05-22 07:12:08+00,Near,0.38,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-55
4954,2024-05-22 07:12:09+00,Near,0.49,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-56
4955,2024-05-22 07:12:10+00,Near,0.31,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-47
4956,2024-05-22 07:12:11+00,Immediate,0.23,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-46
4957,2024-05-22 07:12:12+00,Immediate,0.22,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-47
4958,2024-05-22 07:12:13+00,Immediate,0.22,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-47
4959,2024-05-22 07:12:14+00,Immediate,0.22,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-47
4960,2024-05-22 07:12:15+00,Immediate,0.2,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-46
4961,2024-05-22 07:12:16+00,Immediate,0.18,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-45
4962,2024-05-22 07:12:17+00,Immediate,0.19,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-46
4963,2024-05-22 07:12:18+00,Immediate,0.2,data-v2 GL - lt 4 free,96b4164c-4eeb-55a7-dc43-bc177aef8239,0.2,-47
